#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=35.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:35 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:13 mv:160 misc:307 imb:0 pmb:26 smb:3574 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:41.03 aq:19.08 tex:70 mv:286 misc:356 imb:10 pmb:19 smb:3571 d:t ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:3 mv:74 misc:283 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:56 misc:261 imb:0 pmb:6 smb:3594 d:t ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:10 mv:207 misc:335 imb:0 pmb:34 smb:3566 d:- ref:0 ;
in:45 out:40 type:P dur:2 cpbdur:2 q:41.03 aq:18.61 tex:43 mv:287 misc:334 imb:10 pmb:19 smb:3571 d:t ref:0 ;
in:42 out:41 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:5 mv:50 misc:297 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:86 misc:272 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:73 misc:267 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:211 misc:310 imb:0 pmb:25 smb:3575 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:11 mv:187 misc:322 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:49 out:46 type:P dur:2 cpbdur:2 q:41.03 aq:21.00 tex:28 mv:267 misc:353 imb:11 pmb:18 smb:3571 d:t ref:0 ;
in:47 out:47 type:B dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:86 misc:287 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:46 out:48 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:57 misc:275 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:10 mv:214 misc:320 imb:0 pmb:32 smb:3568 d:- ref:0 ;
in:50 out:50 type:I dur:2 cpbdur:2 q:38.13 aq:15.59 tex:8662 mv:2768 misc:442 imb:3600 pmb:0 smb:0 d:t ref:;
in:52 out:51 type:P dur:2 cpbdur:2 q:41.03 aq:22.21 tex:240 mv:265 misc:367 imb:5 pmb:29 smb:3566 d:t ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:t ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:41.03 aq:28.24 tex:138 mv:225 misc:365 imb:0 pmb:30 smb:3570 d:t ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:t ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:41.03 aq:22.52 tex:115 mv:290 misc:339 imb:12 pmb:19 smb:3569 d:t ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:3 mv:78 misc:287 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:73 misc:266 imb:0 pmb:10 smb:3590 d:t ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:172 misc:309 imb:0 pmb:25 smb:3575 d:- ref:0 ;
in:64 out:59 type:P dur:2 cpbdur:2 q:41.03 aq:21.71 tex:695 mv:370 misc:359 imb:17 pmb:25 smb:3558 d:t ref:0 ;
in:61 out:60 type:B dur:2 cpbdur:2 q:41.03 aq:22.19 tex:18 mv:59 misc:315 imb:1 pmb:16 smb:3583 d:t ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:98 misc:282 imb:0 pmb:15 smb:3585 d:t ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:53 misc:287 imb:0 pmb:15 smb:3585 d:t ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:179 misc:310 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:177 misc:319 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:70 out:65 type:P dur:2 cpbdur:2 q:41.03 aq:24.75 tex:170 mv:302 misc:344 imb:12 pmb:20 smb:3568 d:t ref:0 ;
in:67 out:66 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:7 mv:74 misc:295 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:71 misc:270 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:73 misc:269 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:178 misc:319 imb:0 pmb:29 smb:3571 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:15 mv:185 misc:312 imb:0 pmb:31 smb:3569 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:41.03 aq:17.51 tex:51 mv:249 misc:324 imb:9 pmb:19 smb:3572 d:t ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:4 mv:18 misc:274 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:40 misc:260 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:167 misc:305 imb:0 pmb:24 smb:3576 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:41.03 aq:25.09 tex:79 mv:230 misc:363 imb:3 pmb:24 smb:3573 d:t ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:t ref:0 ;
in:79 out:77 type:P dur:2 cpbdur:2 q:41.03 aq:27.97 tex:204 mv:320 misc:348 imb:10 pmb:22 smb:3568 d:t ref:0 ;
in:77 out:78 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:2 mv:82 misc:284 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:12 mv:195 misc:329 imb:0 pmb:30 smb:3570 d:- ref:0 ;
in:85 out:80 type:P dur:2 cpbdur:2 q:41.03 aq:16.54 tex:50 mv:269 misc:337 imb:10 pmb:20 smb:3570 d:t ref:0 ;
in:82 out:81 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:5 mv:24 misc:275 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:86 misc:262 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:42 misc:265 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:194 misc:310 imb:0 pmb:26 smb:3574 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:12 mv:167 misc:309 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:41.03 aq:18.60 tex:79 mv:291 misc:350 imb:11 pmb:18 smb:3571 d:t ref:0 ;
